"time","p00","p01","p02","p1","p2","p3","p4","nfold"
138.19008,0.5,5,0.03125,32,2,2,4,1
211.596688,1,5,0.03125,32,4,2,4,1
439.802175,2,5,0.03125,32,8,4,2,1
115.16627,0.125,6,0.015625,64,2,2,2,1
260.941753,1,6,0.015625,64,4,4,4,1
101.367395,0.125,7,0.0078125,128,2,4,2,1
112.457561,0.25,7,0.0078125,128,2,4,4,1
133.495567,0.25,7,0.0078125,128,4,2,4,1
103.126676,0.125,8,0.00390625,256,2,4,4,1
111.897121,0.0625,8,0.00390625,256,4,2,2,1
124.027664,0.125,8,0.00390625,256,4,2,4,1
300.569402,0.5,8,0.00390625,256,8,4,4,1
153.537631,0.125,9,0.001953125,512,4,4,4,1
273.215414,0.25,9,0.001953125,512,8,4,4,1
97.876224,0.03125,10,0.0009765625,1024,4,4,2,1
126.043642,0.03125,10,0.0009765625,1024,8,2,2,1
